Nome,GIF
"Air Squat","https://lh3.googleusercontent.com/d/1nSpnyPQKlfpU9ARS0QsqdmicQsoU_JLz"
"Air Squat No Lockout","https://lh3.googleusercontent.com/d/1iYXunRAhBrhVtYE-knEP9DIrpNvnjfJ9"
"Alternated V Up","https://lh3.googleusercontent.com/d/1Eqdg9R2M3_jZpvF9SbpFbbZa4ujwMifC"
"Alternating Bent Over Rows","https://lh3.googleusercontent.com/d/1riXe6lZqDg6qdwua5ErE6l3uwXf8mwLp"
"Alternating Curl and Press","https://lh3.googleusercontent.com/d/1yZlt3RI-hTc7F4Bxf2N7l1Kx4hI7jEVw"
"Alternating Shoulder Press","https://lh3.googleusercontent.com/d/1E9Hw84amHnKOsFtKCpqD0j6uF-b0F5Bp"
"Banded Bicep Curl","https://lh3.googleusercontent.com/d/1uKolJo3-7xRTm-rCappQncuk-xVzz0X2"
"External Rotation Destra","https://lh3.googleusercontent.com/d/1Vy5Dmcv0UZhtggkYkyR33jC3wziBnlWo"
"External Rotation Sinistra","https://lh3.googleusercontent.com/d/1m8dILo0i-oA1RTMV8T5FZYMYQtY_tKsN"
"Banded Face Pull","https://lh3.googleusercontent.com/d/1cNjldL3HKs_jd950wI_DwwqfgKU8VVC3"
"Banded Pull Apart","https://lh3.googleusercontent.com/d/1-M_O1kJedXPGzzEFv_gWkyI-WNnn_rwT"
"Banded Pulley","https://lh3.googleusercontent.com/d/1kBJ97NJ_0kypVh7JzMacxwzdWQ3wHlWG"
"Banded Side Walk","https://lh3.googleusercontent.com/d/1LwOUXOt5Z270R-brf7cYrm321nn9nuF_"
"Banded Upright Rows","https://lh3.googleusercontent.com/d/1A4_QN1fNYyAapnRRVjXWXQ5_3-Ryz-_l"
"Bench Dips","https://lh3.googleusercontent.com/d/1C_d6hALklkfF3B7DM0av0ybLJyORcENI"
"Bench Hop Over","https://lh3.googleusercontent.com/d/1MdkVI6FEUHAZ6_xe7eZuXRzRZB_d5_4C"
"Bench Press","https://lh3.googleusercontent.com/d/1VOnWFYQRcORDShKFVwejmvKfRSz7citY"
"Bench Press Inclined","https://lh3.googleusercontent.com/d/1j92qGjQM8fPczK35Tvkkux2OcP2I_U_M"
"Bench Tricep Press","https://lh3.googleusercontent.com/d/1S7-bNICwuFH7qj9ZjcuItG_0mcvP-SqH"
"Weighted Step Up Destra","https://lh3.googleusercontent.com/d/10m1RFfHyuvl7ZgWkxnjW_G8hdTAks-VV"
"Weighted Step Up Sinistra","https://lh3.googleusercontent.com/d/1xSBbajbqsx-EHIaxuOVxiVjRJqLbl-i4"
"Bird Dog Destra","https://lh3.googleusercontent.com/d/1ChBC5B84pl1q6qMshuH3Y_mYnC-YdKkG"
"Bird Dog Sinistra","https://lh3.googleusercontent.com/d/1ynYHQlvq8NvGe8WTRvd93RvMjkaQLDzq"
"Bottom Up Kettlebell Arnold Press Destra","https://lh3.googleusercontent.com/d/1p9MGEJRbgZcHpXvfaqPettw73No6kE7D"
"Bottom Up Kettlebell Arnold Press Sinistra","https://lh3.googleusercontent.com/d/1VweHCm3ii7nRfk4AKWlFInuPSFxJURfH"
"Bottom Up Kettlebell Hold Destra","https://lh3.googleusercontent.com/d/1OmPk7kNZw-evoYrlcM1Ul-A6k_QMEEz_"
"Bottom Up Kettlebell Hold Sinistra","https://lh3.googleusercontent.com/d/1Cht_48pXpx6Kh8ZZAxPnI2HEMcH8M-iT"
"Bottom Up Kettlebell Press Destra","https://lh3.googleusercontent.com/d/1azr00-uQlDTDJ8kBKXQAfTU8YmAaPRM9"
"Bottom Up Kettlebell Press Sinistra","https://lh3.googleusercontent.com/d/1FzI9vRZ9v9BX-mXC7_GwW7Ph-tFenJCZ"
"Bulgarian Split Squat Destra","https://lh3.googleusercontent.com/d/17ZgmTyARrnoJ488c3OBmN8U0BKADhj2D"
"Bulgarian Split Squat Sinistra","https://lh3.googleusercontent.com/d/1AX6TcHwvKbK8LPj8muAso01Q5QD6Atud"
"Burpees","https://lh3.googleusercontent.com/d/13t99s0xStcDbiYxafdwC1uIr6NJq3VGp"
"Cheater Curl","https://lh3.googleusercontent.com/d/1TSzdowsPPll4xcb8mHwea8QPOWKlahPL"
"Chest Opener","https://lh3.googleusercontent.com/d/1MwhJHxPi8_OHr7wJiTUXStaOcETFzL03"
"Clamshell Destra","https://lh3.googleusercontent.com/d/1NhbCGxa8M_oRGYiKMjN1wFXrznN_SiCJ"
"Clamshell Sinistra","https://lh3.googleusercontent.com/d/1c_iWMnrI1MUNo8Bo-aptNWnDPbc5quRD"
"Crush Grip Rows Hold","https://lh3.googleusercontent.com/d/1PJWq9wdr3mgfeaYSaI2sLH7wnNCNaefL"
"Crush Grip Rows","https://lh3.googleusercontent.com/d/1GOX6aklxJ--yJuxRHi4on4dvZhJhddhI"
